velocity,altitude,accel_x,accel_y,accel_z,temperature,pressure,latitude,longitude,sinyal_gücü,paket_no,paket_kaybi,vertical_velocity,gyro_x,gyro_y,gyro_z,timestamp
2.3,19.1,-1.79,2.84,-10.56,-1.4,1011.1,39.905332,32.804895,-100.0,1,0.8,2.2,0.85,3.15,-4.08,14:04:03.080
3.5,16.5,-2.18,5.53,-11.92,-1.8,1010.2,39.905322,32.804908,-102.1,2,1.0,2.0,-5.29,12.77,-2.85,14:04:03.181
2.0,32.9,-0.72,-1.64,-8.36,-2.2,1008.7,39.905268,32.804892,-92.2,3,0.7,2.6,5.99,1.7,5.39,14:04:03.282
5.4,28.4,3.35,0.55,-8.47,-2.1,1010.0,39.90531,32.804888,-95.4,4,0.7,4.0,-1.94,-5.2,2.15,14:04:03.383
7.1,77.1,-0.55,-1.09,-10.07,-2.0,1004.4,39.905286,32.804912,-97.9,5,0.6,6.1,-1.5,-6.73,-8.67,14:04:03.484
6.9,58.3,2.25,-1.79,-12.03,-1.9,1006.5,39.905332,32.804885,-101.6,6,0.9,5.8,4.17,1.09,-5.2,14:04:03.584
6.4,107.9,-1.79,4.76,-9.7,-1.9,1000.4,39.905333,32.804878,-100.4,7,0.8,6.5,6.18,6.05,-6.23,14:04:03.685
6.2,97.3,-1.86,-0.85,-8.06,-1.8,1002.1,39.905324,32.804885,-98.9,7,1.5,5.6,5.3,-8.56,-3.08,14:04:03.786
7.9,125.1,1.67,-0.93,-8.55,-2.8,998.7,39.905299,32.804922,-94.2,9,0.0,6.2,-3.62,-4.31,-1.02,14:04:03.887
9.6,148.0,-1.23,-0.03,-10.1,-2.1,996.0,39.905321,32.804908,-87.8,9,0.1,10.2,-3.19,-6.56,-4.95,14:04:03.988
8.9,150.0,0.21,1.0,-10.1,-2.3,995.8,39.905321,32.804907,-94.6,10,1.5,8.0,-10.02,2.26,10.69,14:04:04.089
12.3,166.3,-1.41,-2.08,-11.13,-2.6,992.7,39.905353,32.804896,-102.8,12,0.3,12.3,-1.24,-5.02,0.76,14:04:04.189
11.8,159.4,2.85,-4.46,-10.73,-2.5,995.4,39.90531,32.804914,-95.4,13,0.7,12.0,-1.06,-6.57,5.97,14:04:04.290
13.6,208.6,3.21,0.2,-10.22,-2.8,988.1,39.905296,32.804915,-89.1,14,0.6,14.1,-0.62,2.86,-1.57,14:04:04.391
14.4,206.5,6.4,1.49,-11.15,-2.6,988.2,39.905299,32.804935,-97.4,15,1.5,14.1,4.52,-2.81,3.22,14:04:04.492
15.6,221.7,-3.1,-3.58,-10.34,-2.2,987.4,39.90532,32.804944,-93.2,16,0.4,14.9,5.18,-2.86,-0.4,14:04:04.592
15.9,225.0,5.78,-0.92,-11.59,-2.8,986.8,39.905308,32.804922,-101.4,17,0.2,14.5,1.21,-0.36,-2.05,14:04:04.693
18.9,224.5,2.82,1.88,-7.38,-2.7,987.1,39.905342,32.804874,-94.7,18,1.6,19.5,-3.77,-3.0,6.11,14:04:04.794
16.5,258.4,-1.49,0.7,-11.47,-3.3,982.5,39.90534,32.804902,-87.7,19,0.6,18.0,-0.16,8.43,-6.73,14:04:04.895
13.7,259.3,-1.9,-3.54,-9.56,-3.1,982.9,39.905304,32.804915,-99.4,20,1.0,15.5,-10.09,6.52,10.03,14:04:04.996
19.8,291.3,-2.0,-0.85,-7.26,-2.7,978.7,39.905313,32.804935,-104.2,21,0.2,20.2,4.23,-1.96,2.96,14:04:05.097
19.1,305.8,-0.34,-1.99,-8.24,-3.5,977.0,39.905324,32.804923,-103.1,22,0.2,19.0,0.65,7.33,-3.12,14:04:05.198
19.5,323.1,1.06,3.21,-9.02,-3.8,974.8,39.905314,32.804946,-104.1,23,0.9,19.5,2.05,6.59,-7.01,14:04:05.299
19.5,336.8,1.91,1.49,-9.04,-3.2,973.6,39.905327,32.804904,-86.8,24,0.0,20.0,-0.39,-4.08,-6.29,14:04:05.399
21.7,331.7,-0.97,-0.17,-13.39,-3.6,974.5,39.905317,32.804937,-98.4,25,0.5,22.5,2.85,4.01,-2.07,14:04:05.500
22.9,354.6,1.14,-1.44,-9.61,-4.3,972.3,39.905328,32.804929,-103.8,26,0.8,23.9,8.11,1.01,-0.84,14:04:05.601
23.0,360.4,1.04,4.18,-8.13,-3.7,970.8,39.905316,32.804928,-90.2,27,0.8,22.1,6.65,-4.56,2.89,14:04:05.701
24.3,381.6,2.13,1.96,-9.16,-3.8,970.0,39.905351,32.804916,-87.3,28,0.8,24.0,4.44,-1.79,-2.8,14:04:05.802
27.4,391.8,-1.77,-2.38,-9.69,-3.4,968.1,39.905321,32.804914,-91.3,29,1.3,26.2,-2.9,-1.33,-5.51,14:04:05.903
24.8,421.8,1.5,1.47,-8.14,-3.7,964.6,39.905336,32.804962,-95.6,30,1.3,23.9,-3.29,1.79,5.11,14:04:06.004
24.9,436.3,1.3,-1.59,-9.3,-4.3,963.0,39.905316,32.804889,-90.4,31,1.2,25.8,1.81,-7.61,-4.5,14:04:06.105
29.0,440.5,3.59,-2.91,-8.41,-4.2,961.3,39.905332,32.804947,-93.3,32,1.5,29.3,-0.5,4.11,1.18,14:04:06.206
31.9,459.9,3.8,-0.85,-10.26,-4.1,959.7,39.905374,32.804916,-95.1,33,1.6,31.5,0.27,-0.43,-7.47,14:04:06.306
29.7,457.6,-4.23,1.24,-10.21,-4.6,959.3,39.905321,32.804909,-101.9,34,0.1,30.1,1.96,0.73,4.77,14:04:06.407
32.3,504.5,0.23,-2.04,-10.13,-5.0,955.2,39.905365,32.804915,-86.4,35,1.4,33.2,-5.89,0.36,-0.43,14:04:06.508
31.7,510.6,-0.9,1.33,-9.83,-4.0,954.3,39.905356,32.804945,-97.9,36,0.6,30.4,0.22,2.38,-0.39,14:04:06.608
34.4,534.5,1.18,2.54,-9.47,-4.4,952.4,39.90534,32.804924,-91.9,37,1.3,35.5,2.55,8.39,5.6,14:04:06.710
33.4,529.2,-0.43,-1.01,-8.52,-4.9,952.7,39.905317,32.804942,-96.9,38,0.4,32.8,-5.08,0.07,2.3,14:04:06.811
34.0,538.0,1.4,1.62,-9.8,-4.5,951.4,39.905313,32.804923,-90.4,39,1.2,33.0,-0.56,-7.47,-5.68,14:04:06.912
35.4,557.9,0.11,-0.43,-9.24,-5.6,948.7,39.905322,32.804945,-98.3,40,1.9,34.2,-8.83,0.1,-0.06,14:04:07.013
36.9,570.7,2.04,0.05,-9.46,-4.9,947.6,39.905344,32.804905,-100.6,41,1.4,37.9,-6.9,1.72,4.1,14:04:07.113
38.0,585.4,-0.0,4.21,-7.88,-5.7,945.4,39.905356,32.804958,-90.7,42,0.2,35.9,1.4,0.63,9.34,14:04:07.214
