velocity,altitude,accel_x,accel_y,accel_z,temperature,pressure,latitude,longitude,sinyal_gücü,paket_no,paket_kaybi,vertical_velocity,gyro_x,gyro_y,gyro_z,timestamp,altitude_raw,altitude_kalman,velocity_raw,velocity_kalman,vertical_velocity_raw,vertical_velocity_kalman
8.7,35.7,2.13,1.09,-10.83,-3.0,985.2,39.905319,32.804892,-97.6,15,0.7,9.4,3.58,-0.9,-2.58,17:47:02.689,232.7,35.7,12.8,8.7,9.0,9.4
9.5,39.8,-0.03,-1.25,-12.77,-3.1,986.7,39.905282,32.804924,-103.9,16,1.0,10.5,-12.45,3.98,2.11,17:47:02.790,228.9,39.8,15.8,9.5,15.1,10.5
10.3,44.1,-4.32,-0.3,-8.73,-2.9,984.5,39.905318,32.80492,-96.9,17,1.3,11.5,5.23,-2.0,-9.81,17:47:02.891,244.9,44.1,17.0,10.3,15.5,11.5
11.1,48.3,1.03,1.78,-8.28,-3.2,985.6,39.905328,32.804897,-97.1,18,0.5,12.9,-4.16,-12.96,-4.02,17:47:02.991,233.5,48.3,17.9,11.1,18.4,12.9
11.5,53.4,5.4,0.3,-8.56,-3.6,981.2,39.905351,32.804922,-94.9,19,1.4,13.5,4.44,-3.62,0.18,17:47:03.092,275.4,53.4,15.1,11.5,16.1,13.5
12.5,58.3,0.9,-1.15,-10.23,-3.5,982.0,39.90533,32.804904,-90.6,20,1.8,15.1,-5.92,5.13,1.98,17:47:03.192,267.3,58.3,20.5,12.5,21.1,15.1
13.1,63.4,0.34,4.65,-10.34,-3.4,980.5,39.905317,32.80493,-90.5,21,1.4,15.6,-7.98,2.48,-0.68,17:47:03.293,279.1,63.4,18.1,13.1,17.6,15.6
13.8,68.7,0.2,0.4,-9.94,-3.1,979.0,39.9053,32.804981,-85.4,22,1.3,16.5,0.41,-1.04,0.84,17:47:03.393,286.2,68.7,19.8,13.8,20.0,16.5
14.5,75.1,0.71,0.38,-9.82,-3.6,974.3,39.90531,32.804925,-95.1,23,1.6,17.5,3.71,0.03,3.51,17:47:03.494,335.1,75.1,20.6,14.5,21.7,17.5
15.3,81.5,-3.04,-0.52,-10.21,-3.7,973.0,39.905355,32.804963,-92.7,24,2.0,18.2,2.01,-2.27,4.19,17:47:03.594,338.2,81.5,21.7,15.3,21.2,18.2
16.2,87.9,-0.07,1.95,-7.66,-3.7,973.0,39.905304,32.804926,-89.5,25,0.2,19.0,6.79,5.78,-3.41,17:47:03.695,338.2,87.9,23.7,16.2,21.9,19.0
17.2,94.4,2.42,4.01,-10.92,-3.9,972.8,39.905332,32.804918,-90.9,26,1.2,20.4,1.27,-9.0,9.1,17:47:03.795,344.7,94.4,25.3,17.2,26.2,20.4
17.7,101.7,1.29,-3.82,-8.03,-4.1,968.3,39.905333,32.804915,-87.6,27,0.7,20.8,5.53,2.0,0.59,17:47:03.896,378.3,101.7,22.4,17.7,22.2,20.8
18.4,109.5,0.97,-1.62,-7.57,-3.6,966.2,39.905346,32.804919,-90.3,28,1.1,21.7,6.38,3.43,1.31,17:47:03.996,404.6,109.5,23.8,18.4,25.3,21.7
18.9,117.7,0.46,-0.79,-11.48,-4.4,963.3,39.905342,32.80494,-98.4,29,1.9,21.8,-0.59,-1.72,-0.09,17:47:04.097,424.2,117.7,23.6,18.9,22.3,21.8
20.0,125.8,0.37,2.04,-8.98,-3.5,963.6,39.905325,32.804929,-97.5,30,1.9,23.0,1.3,-9.29,0.01,17:47:04.198,424.2,125.8,28.8,20.0,28.0,23.0
20.5,134.0,2.15,-1.23,-10.31,-4.1,963.6,39.905301,32.804902,-87.4,31,1.2,23.4,3.53,8.03,2.91,17:47:04.299,430.9,134.0,25.4,20.5,24.6,23.4
