KayitZamani,PaketNumarasi,Irtifa,Hiz,Enlem,Boylam,IvmeX,IvmeY,IvmeZ,FaEnlem,FaBoylam,FaBasinc
2026-05-10 14:18:57,1,11.2,0.0,39.905301,32.804901,3.03,-3.23,-10.66,39.906301,32.805901,1011.9
2026-05-10 14:18:58,2,38.4,3.3,39.905302,32.804902,3.24,-1.30,-8.71,39.906302,32.805902,1008.7
2026-05-10 14:18:58,3,41.8,2.2,39.905303,32.804903,-1.12,1.40,-11.51,39.906303,32.805903,1008.3
2026-05-10 14:18:58,4,36.7,0.7,39.905304,32.804904,1.25,0.26,-12.09,39.906304,32.805904,1008.9
2026-05-10 14:18:58,5,74.0,3.1,39.905305,32.804905,-1.87,-4.86,-10.52,39.906305,32.805905,1004.5
2026-05-10 14:18:58,6,72.5,7.0,39.905306,32.804906,0.21,3.11,-8.56,39.906306,32.805906,1004.6
2026-05-10 14:18:58,7,93.0,5.6,39.905307,32.804907,3.00,-2.03,-9.25,39.906307,32.805907,1002.2
2026-05-10 14:18:58,7,130.0,4.8,39.905308,32.804908,-3.48,2.22,-10.28,39.906308,32.805908,997.9
2026-05-10 14:18:58,9,121.3,10.5,39.905309,32.804909,-0.46,-2.85,-8.65,39.906309,32.805909,998.9
2026-05-10 14:18:58,9,127.4,9.6,39.905310,32.804910,2.29,2.72,-10.44,39.906310,32.805910,998.2
2026-05-10 14:18:58,10,156.5,8.2,39.905311,32.804911,-1.22,5.12,-10.35,39.906311,32.805911,994.8
2026-05-10 14:18:59,12,171.0,7.3,39.905312,32.804912,-0.75,1.07,-9.24,39.906312,32.805912,993.1
2026-05-10 14:18:59,13,190.4,9.0,39.905313,32.804913,-3.57,2.52,-10.05,39.906313,32.805913,990.8
2026-05-10 14:18:59,14,194.6,12.5,39.905314,32.804914,-1.22,2.57,-9.61,39.906314,32.805914,990.3
2026-05-10 14:18:59,15,220.5,12.4,39.905315,32.804915,-2.93,-3.46,-12.15,39.906315,32.805915,987.3
2026-05-10 14:18:59,16,211.0,16.3,39.905316,32.804916,-0.72,-0.92,-8.59,39.906316,32.805916,988.4
2026-05-10 14:18:59,17,253.4,16.5,39.905317,32.804917,0.49,1.65,-10.42,39.906317,32.805917,983.5
2026-05-10 14:18:59,18,261.1,20.3,39.905318,32.804918,-1.12,-1.66,-10.08,39.906318,32.805918,982.6
2026-05-10 14:18:59,19,292.7,18.4,39.905319,32.804919,0.71,-2.81,-10.23,39.906319,32.805919,979.0
2026-05-10 14:18:59,20,263.2,15.8,39.905320,32.804920,1.63,-3.11,-9.84,39.906320,32.805920,982.4
2026-05-10 14:18:59,21,302.8,21.1,39.905321,32.804921,3.02,-3.36,-9.94,39.906321,32.805921,977.8
2026-05-10 14:19:00,22,302.6,19.7,39.905322,32.804922,-0.35,-1.64,-10.59,39.906322,32.805922,977.8
2026-05-10 14:19:00,23,329.7,20.5,39.905323,32.804923,-0.62,-4.62,-9.06,39.906323,32.805923,974.7
2026-05-10 14:19:00,24,316.9,20.3,39.905324,32.804924,-2.93,-3.87,-10.05,39.906324,32.805924,976.2
2026-05-10 14:19:00,25,345.6,24.2,39.905325,32.804925,0.32,-2.01,-9.97,39.906325,32.805925,972.9
2026-05-10 14:19:00,26,366.2,19.0,39.905326,32.804926,-1.62,2.83,-8.95,39.906326,32.805926,970.5
