KayitZamani,PaketNumarasi,Irtifa,Hiz,Enlem,Boylam,IvmeX,IvmeY,IvmeZ,GyroX,GyroY,GyroZ,FaEnlem,FaBoylam,FaBasinc
2026-05-10 15:18:38,1,24.7,0.0,39.905301,32.804901,-2.69,1.49,-7.75,0.04,14.74,-0.07,39.906301,32.805901,1010.3
2026-05-10 15:18:39,2,21.7,1.8,39.905302,32.804902,-0.05,-3.86,-9.60,0.15,20.47,0.57,39.906302,32.805902,1010.7
2026-05-10 15:18:39,3,45.3,6.8,39.905303,32.804903,-0.96,-0.49,-8.91,0.06,12.55,2.14,39.906303,32.805903,1007.9
2026-05-10 15:18:39,4,61.1,0.0,39.905304,32.804904,-1.15,2.18,-11.32,0.37,5.65,-1.05,39.906304,32.805904,1006.0
2026-05-10 15:18:39,5,68.8,4.5,39.905305,32.804905,0.77,2.21,-11.92,0.22,12.45,-0.06,39.906305,32.805905,1005.1
2026-05-10 15:18:39,6,82.5,4.9,39.905306,32.804906,4.90,-1.33,-8.53,0.36,14.51,0.74,39.906306,32.805906,1003.5
2026-05-10 15:18:39,7,100.0,4.6,39.905307,32.804907,-2.70,-2.69,-9.75,0.21,7.96,-0.28,39.906307,32.805907,1001.4
2026-05-10 15:18:39,7,125.3,11.5,39.905308,32.804908,2.74,0.14,-10.69,0.29,7.00,-0.90,39.906308,32.805908,998.4
2026-05-10 15:18:39,9,124.2,6.8,39.905309,32.804909,-0.91,2.30,-9.81,0.57,3.98,-0.63,39.906309,32.805909,998.6
2026-05-10 15:18:39,9,135.3,7.0,39.905310,32.804910,2.07,-4.33,-10.75,0.29,8.53,1.51,39.906310,32.805910,997.2
2026-05-10 15:18:39,10,165.2,9.4,39.905311,32.804911,-3.93,3.05,-7.42,0.34,8.32,-0.39,39.906311,32.805911,993.7
2026-05-10 15:18:40,12,158.6,9.9,39.905312,32.804912,2.79,0.53,-9.71,0.53,9.64,-0.87,39.906312,32.805912,994.5
2026-05-10 15:18:40,13,189.3,10.8,39.905313,32.804913,-0.99,1.06,-10.97,0.45,6.13,-0.95,39.906313,32.805913,990.9
2026-05-10 15:18:40,14,199.5,13.9,39.905314,32.804914,1.38,-3.71,-10.47,0.84,9.76,-0.62,39.906314,32.805914,989.7
2026-05-10 15:18:40,15,197.2,14.5,39.905315,32.804915,1.46,0.62,-12.75,0.41,7.54,-1.29,39.906315,32.805915,990.0
2026-05-10 15:18:40,16,227.5,14.9,39.905316,32.804916,-0.61,2.45,-9.30,0.38,7.71,-0.05,39.906316,32.805916,986.5
2026-05-10 15:18:40,17,248.7,16.8,39.905317,32.804917,-4.34,-0.25,-11.10,1.05,14.82,0.33,39.906317,32.805917,984.0
2026-05-10 15:18:40,18,256.0,14.1,39.905318,32.804918,-2.52,1.54,-10.81,0.10,14.66,1.20,39.906318,32.805918,983.2
2026-05-10 15:18:40,19,266.5,20.3,39.905319,32.804919,0.93,-1.43,-9.06,1.07,-2.71,-0.12,39.906319,32.805919,982.0
2026-05-10 15:18:40,20,286.4,19.1,39.905320,32.804920,2.81,-1.47,-9.81,0.95,0.27,-0.42,39.906320,32.805920,979.7
2026-05-10 15:18:41,21,290.7,18.8,39.905321,32.804921,-3.61,1.85,-9.77,1.77,7.30,-0.55,39.906321,32.805921,979.2
2026-05-10 15:18:41,22,301.4,21.8,39.905322,32.804922,1.93,-0.73,-10.05,1.27,4.88,0.02,39.906322,32.805922,977.9
2026-05-10 15:18:41,23,329.5,17.3,39.905323,32.804923,1.05,-3.81,-10.62,0.41,15.25,-0.27,39.906323,32.805923,974.7
2026-05-10 15:18:41,24,337.8,18.6,39.905324,32.804924,0.98,2.25,-7.66,0.65,12.83,0.15,39.906324,32.805924,973.8
2026-05-10 15:18:41,25,362.6,22.8,39.905325,32.804925,-0.37,-1.54,-6.78,0.96,5.92,0.36,39.906325,32.805925,970.9
2026-05-10 15:18:41,26,367.4,23.7,39.905326,32.804926,-1.25,-1.16,-10.79,1.62,-2.50,1.62,39.906326,32.805926,970.4
2026-05-10 15:18:41,27,377.4,22.9,39.905327,32.804927,3.02,0.22,-10.15,0.55,19.07,0.98,39.906327,32.805927,969.2
2026-05-10 15:18:41,28,392.4,24.0,39.905328,32.804928,-2.61,-0.03,-10.76,1.59,9.08,-0.40,39.906328,32.805928,967.5
2026-05-10 15:18:41,29,388.4,26.7,39.905329,32.804929,1.74,-1.83,-10.37,2.42,14.16,-0.44,39.906329,32.805929,968.0
2026-05-10 15:18:41,30,441.6,31.0,39.905330,32.804930,3.55,-0.10,-9.92,2.57,6.05,-0.52,39.906330,32.805930,962.0
2026-05-10 15:18:42,31,417.5,26.8,39.905331,32.804931,1.26,-1.48,-8.65,1.79,11.81,1.05,39.906331,32.805931,964.7
2026-05-10 15:18:42,32,442.8,25.4,39.905332,32.804932,1.86,-0.07,-9.51,2.25,10.48,0.47,39.906332,32.805932,961.8
2026-05-10 15:18:42,33,449.8,27.7,39.905333,32.804933,0.37,4.46,-10.74,1.70,11.75,-0.18,39.906333,32.805933,961.0
2026-05-10 15:18:42,34,472.9,28.5,39.905334,32.804934,-0.54,0.56,-10.28,1.07,7.92,-0.48,39.906334,32.805934,958.4
2026-05-10 15:18:42,35,479.6,29.7,39.905335,32.804935,3.10,3.08,-12.36,1.39,10.35,0.69,39.906335,32.805935,957.7
2026-05-10 15:18:42,36,501.4,35.3,39.905336,32.804936,2.21,1.31,-11.20,2.94,1.57,2.26,39.906336,32.805936,955.2
2026-05-10 15:18:42,37,522.0,31.2,39.905337,32.804937,0.05,2.09,-10.09,1.76,19.22,-0.13,39.906337,32.805937,952.9
2026-05-10 15:18:42,38,519.9,35.7,39.905338,32.804938,-3.29,3.42,-9.84,1.30,13.74,1.21,39.906338,32.805938,953.1
2026-05-10 15:18:42,39,549.9,33.8,39.905339,32.804939,-0.87,5.58,-7.66,1.16,10.45,-1.57,39.906339,32.805939,949.8
2026-05-10 15:18:42,40,556.1,35.6,39.905340,32.804940,-0.88,1.16,-9.90,1.53,6.06,0.08,39.906340,32.805940,949.1
2026-05-10 15:18:43,41,553.3,34.8,39.905341,32.804941,0.25,-4.86,-8.55,1.91,5.97,-0.17,39.906341,32.805941,949.4
2026-05-10 15:18:43,42,591.3,37.2,39.905342,32.804942,-1.01,-1.52,-9.76,2.00,15.88,1.35,39.906342,32.805942,945.2
2026-05-10 15:18:43,43,592.6,38.9,39.905343,32.804943,2.44,2.54,-9.33,2.45,5.70,0.39,39.906343,32.805943,945.0
2026-05-10 15:18:43,44,602.7,41.4,39.905344,32.804944,1.27,1.45,-9.89,3.27,2.68,-1.55,39.906344,32.805944,943.9
2026-05-10 15:18:43,45,619.6,43.3,39.905345,32.804945,-0.75,0.78,-7.74,1.01,4.95,-0.58,39.906345,32.805945,942.0
